Education,Marital_Status,Income,Child_Status,Total_Spend_2_Years,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Income_Group,Web_Frequency
Bachelor,With Partner,51267.0,1 or More,270,3,3,5,Middle,Low
Bachelor,No Partner,46524.0,1 or More,177,1,1,5,Middle,Low
Master,No Partner,45183.0,No Child,315,4,1,7,Middle,Normal
PhD,With Partner,70421.0,1 or More,767,10,3,7,Upper Middle,High
Master,No Partner,60161.0,1 or More,1071,11,4,8,Middle,High
Bachelor,With Partner,73926.0,No Child,1580,6,5,12,Upper Middle,Normal
Bachelor,With Partner,19329.0,1 or More,60,4,0,3,Low,Normal
Master,With Partner,61872.0,1 or More,573,4,4,9,Middle,Normal
Bachelor,No Partner,46984.0,1 or More,41,1,0,3,Middle,Low
Bachelor,With Partner,34838.0,1 or More,170,2,1,4,Middle,Low
PhD,No Partner,82716.0,No Child,1167,6,8,13,Upper Middle,Normal
Bachelor,With Partner,48192.0,No Child,1526,2,8,12,Middle,Low
Master,With Partner,49681.0,1 or More,458,7,1,7,Middle,High
Master,With Partner,56850.0,1 or More,63,1,1,3,Middle,Low
Bachelor,With Partner,55267.0,1 or More,405,3,4,6,Middle,Low
Bachelor,With Partner,59666.0,1 or More,1027,3,2,8,Middle,Low
Bachelor,No Partner,72504.0,1 or More,1478,5,9,6,Upper Middle,Normal
Bachelor,With Partner,26872.0,No Child,72,1,1,2,Low,Low
Bachelor,No Partner,21359.0,1 or More,48,2,0,3,Low,Low
Bachelor,No Partner,73170.0,No Child,726,5,4,6,Upper Middle,Normal
Master,With Partner,52750.0,1 or More,860,5,7,9,Middle,Normal
PhD,With Partner,91820.0,No Child,1497,5,5,12,Upper Middle,Normal
PhD,With Partner,65968.0,1 or More,495,5,4,7,Upper Middle,Normal
Bachelor,With Partner,30772.0,1 or More,20,1,0,2,Middle,Low
Bachelor,No Partner,22507.0,No Child,570,10,2,4,Low,High
Bachelor,With Partner,65685.0,1 or More,769,9,2,9,Upper Middle,High
Master,With Partner,25804.0,1 or More,55,2,0,3,Low,Low
PhD,No Partner,76412.0,No Child,1808,5,4,8,Upper Middle,Normal
Bachelor,With Partner,22063.0,1 or More,55,2,0,3,Low,Low
Bachelor,No Partner,57091.0,No Child,577,7,3,7,Middle,High
Bachelor,With Partner,22419.0,No Child,162,3,2,2,Low,Low
Bachelor,With Partner,87771.0,1 or More,1957,5,10,4,Upper Middle,Normal
Master,No Partner,78353.0,1 or More,1576,10,2,11,Upper Middle,High
Bachelor,With Partner,93404.0,1 or More,1616,3,4,7,Upper Middle,Low
Bachelor,No Partner,37859.0,1 or More,36,1,0,3,Middle,Low
PhD,No Partner,80995.0,1 or More,1482,8,9,4,Upper Middle,High
Bachelor,With Partner,16529.0,1 or More,22,1,0,3,Low,Low
PhD,No Partner,55412.0,1 or More,63,2,0,3,Middle,Low
Bachelor,No Partner,48789.0,No Child,680,6,4,7,Middle,Normal
PhD,With Partner,56575.0,1 or More,542,7,3,7,Middle,High
Master,With Partner,25130.0,1 or More,50,2,0,3,Low,Low
Bachelor,With Partner,35441.0,1 or More,39,1,0,3,Middle,Low
Bachelor,With Partner,71391.0,1 or More,1043,6,5,12,Upper Middle,Normal
Master,No Partner,49494.0,1 or More,385,6,1,5,Middle,Normal
Bachelor,No Partner,81702.0,No Child,1633,7,7,12,Upper Middle,High
Master,No Partner,45889.0,1 or More,46,1,0,3,Middle,Low
Bachelor,No Partner,56628.0,1 or More,761,7,6,5,Middle,High
Bachelor,With Partner,34026.0,1 or More,76,2,1,3,Middle,Low
Bachelor,With Partner,40049.0,1 or More,290,3,2,6,Middle,Low
Bachelor,No Partner,34176.0,1 or More,89,3,0,4,Middle,Low
Bachelor,With Partner,19419.0,1 or More,70,4,0,3,Low,Normal
Master,With Partner,82504.0,No Child,1066,3,6,7,Upper Middle,Low
Bachelor,With Partner,81205.0,No Child,2009,5,6,7,Upper Middle,Normal
Master,No Partner,61618.0,No Child,1345,3,6,8,Middle,Low
Master,No Partner,55284.0,1 or More,764,7,5,8,Middle,High
Bachelor,No Partner,49980.0,1 or More,195,3,1,5,Middle,Low
Bachelor,With Partner,15072.0,1 or More,53,3,1,3,Low,Low
Bachelor,No Partner,49166.0,1 or More,368,5,3,3,Middle,Normal
PhD,With Partner,65324.0,1 or More,544,6,2,9,Upper Middle,Normal
Master,With Partner,82347.0,No Child,1853,7,7,10,Upper Middle,High
PhD,With Partner,30843.0,1 or More,35,1,1,2,Middle,Low
PhD,With Partner,46374.0,1 or More,446,7,1,7,Middle,High
Bachelor,No Partner,60474.0,1 or More,1180,10,2,12,Middle,High
Master,With Partner,38576.0,1 or More,41,1,0,3,Middle,Low
Bachelor,With Partner,55357.0,1 or More,727,6,2,11,Middle,Normal
Bachelor,With Partner,37758.0,1 or More,40,1,0,3,Middle,Low
Master,With Partner,85710.0,No Child,1062,6,9,10,Upper Middle,Normal
Bachelor,With Partner,23228.0,1 or More,40,2,0,3,Low,Low
Master,With Partner,44602.0,1 or More,292,6,1,4,Middle,Normal
Bachelor,With Partner,7500.0,No Child,15,0,0,3,Low,
Master,With Partner,38683.0,1 or More,341,4,1,6,Middle,Normal
Master,No Partner,49514.0,1 or More,369,6,1,4,Middle,Normal
PhD,With Partner,57906.0,1 or More,401,4,2,8,Middle,Normal
Master,No Partner,43456.0,1 or More,393,5,1,8,Middle,Normal
Master,No Partner,19485.0,1 or More,10,1,0,2,Low,Low
Bachelor,With Partner,53172.0,1 or More,486,2,3,8,Middle,Low
Bachelor,With Partner,30545.0,1 or More,69,2,0,3,Middle,Low
PhD,With Partner,70123.0,No Child,1727,5,7,4,Upper Middle,Normal
Bachelor,No Partner,62450.0,1 or More,995,5,5,4,Middle,Normal
Bachelor,With Partner,21675.0,1 or More,45,4,0,3,Low,Normal
Master,No Partner,42395.0,1 or More,182,3,1,4,Middle,Low
Master,With Partner,61346.0,1 or More,989,5,7,10,Middle,Normal
Bachelor,With Partner,80812.0,No Child,1677,4,8,5,Upper Middle,Normal
Master,No Partner,42835.0,1 or More,595,6,6,4,Middle,Normal
Bachelor,With Partner,39922.0,1 or More,156,3,0,4,Middle,Low
Master,No Partner,86424.0,No Child,1226,6,9,12,Upper Middle,Normal
Master,With Partner,17117.0,1 or More,128,3,1,3,Low,Low
Bachelor,No Partner,24762.0,1 or More,86,3,1,2,Low,Low
Bachelor,With Partner,35797.0,1 or More,68,2,0,3,Middle,Low
Bachelor,No Partner,36627.0,1 or More,16,0,0,3,Middle,
Master,With Partner,51111.0,1 or More,55,2,0,3,Middle,Low
PhD,No Partner,86857.0,No Child,2114,5,6,10,Upper Middle,Normal
PhD,With Partner,82072.0,No Child,2018,3,2,13,Upper Middle,Low
PhD,No Partner,46231.0,1 or More,263,6,1,4,Middle,Normal
Bachelor,With Partner,42243.0,1 or More,55,2,0,3,Middle,Low
Bachelor,With Partner,51195.0,1 or More,564,9,2,5,Middle,High
Master,No Partner,68092.0,No Child,1281,2,6,10,Upper Middle,Low
Bachelor,With Partner,31814.0,1 or More,83,2,0,3,Middle,Low
Master,No Partner,51390.0,1 or More,353,5,2,5,Middle,Normal
Bachelor,With Partner,76630.0,No Child,1003,3,10,11,Upper Middle,Low
Bachelor,No Partner,26868.0,1 or More,14,1,0,2,Low,Low
PhD,No Partner,48948.0,No Child,902,7,10,5,Middle,High
PhD,No Partner,55260.0,1 or More,1139,8,10,5,Middle,High
Bachelor,With Partner,64090.0,1 or More,797,6,9,4,Middle,Normal
Bachelor,No Partner,78331.0,1 or More,1638,10,6,7,Upper Middle,High
PhD,With Partner,37087.0,1 or More,401,4,2,8,Middle,Normal
Bachelor,No Partner,21846.0,1 or More,84,4,0,3,Low,Normal
Bachelor,With Partner,81320.0,No Child,928,4,3,10,Upper Middle,Normal
Bachelor,No Partner,54137.0,1 or More,203,4,1,4,Middle,Normal
Bachelor,With Partner,66825.0,No Child,858,4,5,6,Upper Middle,Normal
Bachelor,With Partner,57100.0,No Child,409,3,3,6,Middle,Low
Bachelor,With Partner,58917.0,1 or More,282,4,1,6,Middle,Normal
Bachelor,No Partner,85072.0,No Child,1423,3,4,10,Upper Middle,Low
Bachelor,No Partner,86429.0,No Child,1449,7,4,7,Upper Middle,High
Bachelor,No Partner,45684.0,1 or More,28,1,0,2,Middle,Low
Bachelor,With Partner,47889.0,1 or More,67,2,0,3,Middle,Low
PhD,With Partner,45921.0,No Child,199,2,1,6,Middle,Low
PhD,No Partner,78420.0,No Child,1453,3,10,8,Upper Middle,Low
Bachelor,With Partner,75114.0,No Child,1253,3,10,5,Upper Middle,Low
PhD,No Partner,52278.0,1 or More,1198,10,5,10,Middle,High
Master,With Partner,35641.0,1 or More,178,3,1,4,Middle,Low
Bachelor,No Partner,95529.0,No Child,1990,7,3,7,Upper Middle,High
Bachelor,With Partner,62820.0,No Child,976,3,4,6,Middle,Low
Master,With Partner,73113.0,No Child,1001,3,4,7,Upper Middle,Low
PhD,With Partner,84169.0,No Child,1919,7,6,6,Upper Middle,High
Master,No Partner,42607.0,1 or More,350,3,2,7,Middle,Low
PhD,No Partner,74637.0,No Child,1650,6,9,9,Upper Middle,Normal
PhD,With Partner,46015.0,1 or More,46,1,0,3,Middle,Low
Bachelor,No Partner,72354.0,No Child,1228,2,10,6,Upper Middle,Low
Master,No Partner,39858.0,1 or More,95,2,0,4,Middle,Low
PhD,With Partner,34469.0,1 or More,62,1,1,4,Middle,Low
Bachelor,With Partner,83033.0,1 or More,1761,11,4,10,Upper Middle,High
Master,With Partner,24401.0,No Child,467,6,1,6,Low,Normal
Bachelor,With Partner,77583.0,No Child,1149,4,5,9,Upper Middle,Normal
Master,No Partner,74116.0,No Child,2052,4,4,10,Upper Middle,Normal
Bachelor,No Partner,74293.0,No Child,1127,5,4,6,Upper Middle,Normal
PhD,With Partner,68397.0,1 or More,1416,6,9,5,Upper Middle,Normal
PhD,With Partner,79632.0,No Child,1113,6,4,9,Upper Middle,Normal
Bachelor,No Partner,46107.0,1 or More,125,1,1,4,Middle,Low
PhD,No Partner,64950.0,1 or More,966,11,2,10,Middle,High
Bachelor,With Partner,25443.0,1 or More,32,1,0,3,Low,Low
Bachelor,No Partner,75127.0,No Child,833,2,11,5,Upper Middle,Low
PhD,With Partner,32892.0,1 or More,46,3,0,3,Middle,Low
Bachelor,With Partner,71796.0,No Child,960,9,3,4,Upper Middle,High
PhD,With Partner,67536.0,1 or More,1829,11,5,11,Upper Middle,High
Bachelor,No Partner,55239.0,1 or More,779,7,5,11,Middle,High
PhD,No Partner,60554.0,1 or More,811,8,4,9,Middle,High
Master,No Partner,64831.0,1 or More,1120,6,3,5,Middle,Normal
PhD,With Partner,56067.0,1 or More,725,7,4,7,Middle,High
Bachelor,No Partner,82025.0,No Child,1187,3,2,6,Upper Middle,Low
Bachelor,With Partner,94384.0,No Child,2302,5,8,5,Upper Middle,Normal
Bachelor,No Partner,14906.0,No Child,66,2,1,3,Low,Low
PhD,With Partner,51563.0,No Child,1250,4,4,10,Middle,Normal
Master,With Partner,57937.0,1 or More,683,4,4,9,Middle,Normal
Bachelor,No Partner,68274.0,1 or More,305,4,2,5,Upper Middle,Normal
Bachelor,With Partner,39771.0,1 or More,50,2,0,3,Middle,Low
Master,No Partner,67893.0,1 or More,995,3,2,9,Upper Middle,Low
PhD,With Partner,27922.0,1 or More,41,2,0,3,Low,Low
PhD,With Partner,52190.0,1 or More,77,2,1,3,Middle,Low
Master,No Partner,44051.0,1 or More,171,3,1,4,Middle,Low
PhD,No Partner,42767.0,1 or More,131,3,1,2,Middle,Low
Master,With Partner,46106.0,1 or More,54,1,1,2,Middle,Low
PhD,With Partner,16927.0,1 or More,53,3,0,4,Low,Low
Bachelor,With Partner,59754.0,1 or More,475,5,2,6,Middle,Normal
Bachelor,No Partner,53700.0,1 or More,694,5,5,8,Middle,Normal
Bachelor,With Partner,59041.0,1 or More,96,2,0,4,Middle,Low
PhD,No Partner,54237.0,1 or More,361,5,2,5,Middle,Normal
Bachelor,No Partner,70647.0,1 or More,1079,4,7,13,Upper Middle,Normal
PhD,No Partner,52597.0,1 or More,578,6,3,8,Middle,Normal
Master,With Partner,41021.0,1 or More,64,2,0,3,Middle,Low
PhD,With Partner,40233.0,1 or More,149,2,1,5,Middle,Low
Bachelor,With Partner,50183.0,1 or More,231,3,1,6,Middle,Low
Bachelor,With Partner,54753.0,1 or More,728,5,2,11,Middle,Normal
Bachelor,With Partner,92955.0,No Child,1778,6,7,9,Upper Middle,Normal
Bachelor,With Partner,33471.0,1 or More,93,3,0,4,Middle,Low
PhD,With Partner,34596.0,1 or More,23,1,0,2,Middle,Low
Bachelor,With Partner,44010.0,1 or More,662,10,2,6,Middle,High
Bachelor,With Partner,84219.0,No Child,1198,3,4,10,Upper Middle,Low
PhD,With Partner,40706.0,1 or More,81,3,0,4,Middle,Low
Master,With Partner,15716.0,1 or More,92,3,0,4,Low,Low
Master,No Partner,59052.0,1 or More,491,7,1,7,Middle,High
Master,With Partner,80573.0,No Child,1564,4,6,13,Upper Middle,Normal
Bachelor,With Partner,83715.0,No Child,926,2,8,13,Upper Middle,Low
Master,With Partner,82576.0,No Child,1910,2,4,12,Upper Middle,Low
Master,With Partner,56962.0,1 or More,411,6,3,5,Middle,Normal
Bachelor,With Partner,35704.0,1 or More,94,2,0,4,Middle,Low
Bachelor,With Partner,53103.0,1 or More,1085,10,6,7,Middle,High
Master,No Partner,46779.0,1 or More,23,0,1,2,Middle,
Bachelor,No Partner,4861.0,No Child,6,0,0,0,Low,
Master,No Partner,33462.0,1 or More,54,2,0,3,Middle,Low
Bachelor,No Partner,63693.0,1 or More,1150,11,6,9,Middle,High
Bachelor,With Partner,80763.0,No Child,1415,5,11,6,Upper Middle,Normal
PhD,With Partner,65352.0,1 or More,405,4,2,8,Upper Middle,Normal
PhD,With Partner,82170.0,No Child,1908,5,6,7,Upper Middle,Normal
Bachelor,With Partner,75759.0,No Child,2486,9,7,9,Upper Middle,High
Master,No Partner,79689.0,No Child,1315,4,9,13,Upper Middle,Normal
PhD,No Partner,35340.0,1 or More,45,2,0,3,Middle,Low
Bachelor,No Partner,85683.0,No Child,1789,2,4,10,Upper Middle,Low
Master,With Partner,24884.0,1 or More,19,0,0,3,Low,
Master,With Partner,42021.0,1 or More,573,10,1,6,Middle,High
Bachelor,No Partner,64449.0,1 or More,805,5,3,12,Middle,Normal
Bachelor,No Partner,64587.0,1 or More,108,1,1,4,Middle,Low
Bachelor,No Partner,34824.0,No Child,23,1,0,2,Middle,Low
Bachelor,With Partner,75437.0,No Child,1493,8,4,10,Upper Middle,High
Bachelor,With Partner,26091.0,1 or More,89,2,1,3,Low,Low
Bachelor,With Partner,52845.0,1 or More,936,8,8,6,Middle,High
Bachelor,No Partner,46086.0,1 or More,343,3,1,8,Middle,Low
PhD,No Partner,78028.0,1 or More,528,6,4,9,Upper Middle,Normal
PhD,No Partner,95169.0,No Child,1901,4,3,4,Upper Middle,Normal
Master,With Partner,56337.0,1 or More,724,8,5,4,Middle,High
Bachelor,With Partner,22434.0,1 or More,58,2,0,3,Low,Low
PhD,With Partner,36930.0,1 or More,297,5,2,4,Middle,Normal
Bachelor,No Partner,36130.0,1 or More,488,3,8,4,Middle,Low
Master,With Partner,65569.0,1 or More,859,6,5,10,Upper Middle,Normal
Bachelor,With Partner,83844.0,No Child,1574,4,4,11,Upper Middle,Normal
Bachelor,With Partner,19514.0,1 or More,69,3,1,2,Low,Low
PhD,No Partner,36736.0,1 or More,17,1,0,2,Middle,Low
Bachelor,With Partner,77568.0,1 or More,2194,10,2,8,Upper Middle,High
PhD,With Partner,49187.0,1 or More,116,1,1,5,Middle,Low
Bachelor,No Partner,30168.0,1 or More,279,6,1,4,Middle,Normal
Master,With Partner,34053.0,1 or More,103,3,0,3,Middle,Low
Master,With Partner,38196.0,1 or More,44,2,0,4,Middle,Low
Master,With Partner,59412.0,No Child,406,4,2,8,Middle,Normal
Master,With Partner,70924.0,No Child,1363,6,6,7,Upper Middle,Normal
Bachelor,With Partner,54165.0,No Child,236,2,1,7,Middle,Low
Bachelor,With Partner,32300.0,1 or More,39,1,0,3,Middle,Low
Bachelor,No Partner,20180.0,No Child,137,2,1,4,Low,Low
Bachelor,With Partner,34961.0,1 or More,79,3,1,3,Middle,Low
PhD,With Partner,28440.0,1 or More,63,2,0,3,Low,Low
PhD,With Partner,64504.0,1 or More,1314,11,3,4,Middle,High
Master,With Partner,33564.0,1 or More,71,1,1,3,Middle,Low
Bachelor,With Partner,17345.0,1 or More,58,2,1,2,Low,Low
PhD,With Partner,56320.0,1 or More,702,5,4,9,Middle,Normal
Bachelor,No Partner,28647.0,1 or More,94,2,2,2,Low,Low
Bachelor,No Partner,15038.0,1 or More,80,2,1,2,Low,Low
PhD,No Partner,32173.0,1 or More,22,1,0,3,Middle,Low
Master,With Partner,68316.0,1 or More,1211,10,7,10,Upper Middle,High
Bachelor,With Partner,74538.0,No Child,1461,8,8,5,Upper Middle,High
Bachelor,No Partner,91700.0,No Child,1968,8,6,5,Upper Middle,High
Bachelor,With Partner,68695.0,No Child,1091,4,4,7,Upper Middle,Normal
Master,With Partner,31056.0,1 or More,55,1,0,3,Middle,Low
Bachelor,With Partner,79593.0,No Child,1366,5,6,7,Upper Middle,Normal
Bachelor,No Partner,28071.0,No Child,313,5,1,5,Low,Normal
PhD,With Partner,37334.0,1 or More,62,3,0,4,Middle,Low
Master,No Partner,46423.0,1 or More,92,2,0,4,Middle,Low
PhD,With Partner,37126.0,1 or More,72,1,2,2,Middle,Low
Bachelor,With Partner,47703.0,1 or More,655,6,3,8,Middle,Normal
Bachelor,With Partner,61180.0,1 or More,704,5,5,6,Middle,Normal
Bachelor,With Partner,38998.0,1 or More,54,2,0,3,Middle,Low
Bachelor,No Partner,8028.0,No Child,178,0,1,0,Low,
Bachelor,With Partner,76081.0,No Child,1033,4,5,4,Upper Middle,Normal
Bachelor,With Partner,34728.0,1 or More,36,1,1,2,Middle,Low
Master,No Partner,33168.0,1 or More,122,2,1,4,Middle,Low
Master,With Partner,33585.0,1 or More,122,2,0,4,Middle,Low
PhD,With Partner,77037.0,1 or More,1123,7,7,12,Upper Middle,High
Bachelor,With Partner,35196.0,1 or More,497,6,1,5,Middle,Normal
Bachelor,With Partner,44529.0,1 or More,691,6,2,11,Middle,Normal
Master,With Partner,70924.0,No Child,1363,6,6,7,Upper Middle,Normal
PhD,With Partner,28764.0,1 or More,12,1,0,2,Low,Low
PhD,With Partner,69098.0,No Child,2440,7,8,9,Upper Middle,High
Master,No Partner,25959.0,1 or More,56,1,2,2,Low,Low
Master,With Partner,27100.0,1 or More,37,1,0,3,Low,Low
Bachelor,No Partner,70596.0,No Child,968,3,5,12,Upper Middle,Low
Bachelor,With Partner,42557.0,1 or More,270,6,1,4,Middle,Normal
PhD,With Partner,53312.0,No Child,278,5,1,5,Middle,Normal
Bachelor,No Partner,72228.0,No Child,1250,6,7,8,Upper Middle,Normal
Bachelor,With Partner,67605.0,No Child,938,2,8,6,Upper Middle,Low
Master,With Partner,62845.0,1 or More,1178,3,4,10,Middle,Low
Bachelor,With Partner,65196.0,1 or More,1155,7,6,11,Upper Middle,High
PhD,No Partner,42000.0,No Child,653,5,2,11,Middle,Normal
PhD,No Partner,35860.0,1 or More,49,1,1,2,Middle,Low
PhD,With Partner,65526.0,1 or More,506,4,4,8,Upper Middle,Normal
Bachelor,With Partner,16860.0,1 or More,38,1,1,3,Low,Low
Bachelor,No Partner,83528.0,No Child,1650,4,10,8,Upper Middle,Normal
Master,No Partner,64176.0,1 or More,1826,8,9,8,Middle,High
Bachelor,No Partner,22304.0,No Child,18,1,0,2,Low,Low
Bachelor,With Partner,67023.0,No Child,906,3,7,13,Upper Middle,Low
PhD,With Partner,32892.0,1 or More,46,3,0,3,Middle,Low
Bachelor,With Partner,70713.0,1 or More,1477,5,6,8,Upper Middle,Normal
Bachelor,With Partner,59925.0,1 or More,766,9,2,9,Middle,High
Bachelor,With Partner,39722.0,1 or More,47,2,0,3,Middle,Low
Bachelor,With Partner,46610.0,No Child,467,6,1,6,Middle,Normal
Bachelor,With Partner,88347.0,No Child,2116,4,7,9,Upper Middle,Normal
PhD,With Partner,87171.0,No Child,1298,6,7,11,Upper Middle,Normal
Master,With Partner,26907.0,1 or More,22,1,0,3,Low,Low
Master,No Partner,50014.0,1 or More,396,4,1,8,Middle,Normal
PhD,With Partner,41014.0,1 or More,20,1,0,2,Middle,Low
Bachelor,No Partner,66294.0,No Child,967,4,3,5,Upper Middle,Normal
Bachelor,With Partner,36715.0,1 or More,357,7,2,4,Middle,High
Bachelor,With Partner,79456.0,No Child,1401,5,6,4,Upper Middle,Normal
Bachelor,With Partner,40479.0,1 or More,15,0,0,3,Middle,
Master,No Partner,75345.0,No Child,2087,5,8,6,Upper Middle,Normal
Bachelor,With Partner,54233.0,1 or More,981,11,6,5,Middle,High
Bachelor,No Partner,24163.0,1 or More,17,1,0,3,Low,Low
PhD,With Partner,84460.0,No Child,523,9,9,4,Upper Middle,High
Bachelor,With Partner,43776.0,1 or More,23,1,0,2,Middle,Low
PhD,No Partner,71691.0,No Child,1192,4,7,5,Upper Middle,Normal
PhD,With Partner,85844.0,No Child,1958,6,6,7,Upper Middle,Normal
PhD,No Partner,39190.0,1 or More,133,2,1,4,Middle,Low
Bachelor,With Partner,71367.0,No Child,777,4,5,7,Upper Middle,Normal
PhD,No Partner,38578.0,1 or More,73,3,0,3,Middle,Low
PhD,With Partner,57236.0,1 or More,121,2,1,4,Middle,Low
Bachelor,No Partner,61825.0,1 or More,424,4,2,8,Middle,Normal
Bachelor,No Partner,79803.0,1 or More,868,4,3,5,Upper Middle,Normal
Master,No Partner,80910.0,No Child,756,3,3,8,Upper Middle,Low
Master,With Partner,27590.0,1 or More,12,1,0,2,Low,Low
Bachelor,With Partner,56775.0,1 or More,937,5,8,10,Middle,Normal
Bachelor,No Partner,83829.0,No Child,1862,4,7,6,Upper Middle,Normal
Master,With Partner,54210.0,1 or More,367,4,1,7,Middle,Normal
Bachelor,With Partner,38508.0,1 or More,443,7,2,5,Middle,High
Bachelor,With Partner,53187.0,1 or More,267,4,1,6,Middle,Normal
Bachelor,With Partner,30023.0,1 or More,61,2,0,3,Middle,Low
PhD,No Partner,76045.0,No Child,1323,4,5,11,Upper Middle,Normal
PhD,With Partner,50870.0,1 or More,63,2,0,3,Middle,Low
Master,With Partner,15315.0,No Child,64,2,0,4,Low,Low
Master,With Partner,65463.0,1 or More,562,6,2,9,Upper Middle,Normal
Bachelor,With Partner,66480.0,1 or More,312,4,1,7,Upper Middle,Normal
Bachelor,No Partner,76773.0,No Child,1156,2,2,11,Upper Middle,Low
Master,No Partner,81698.0,No Child,1104,8,2,5,Upper Middle,High
PhD,No Partner,54466.0,1 or More,16,1,0,2,Middle,Low
Master,No Partner,98777.0,No Child,2008,4,6,9,Upper Middle,Normal
PhD,No Partner,16269.0,1 or More,44,3,0,3,Low,Low
Bachelor,With Partner,71819.0,1 or More,1574,3,3,5,Upper Middle,Low
PhD,With Partner,33569.0,1 or More,63,1,1,2,Middle,Low
Master,With Partner,36262.0,No Child,426,3,5,3,Middle,Low
Bachelor,With Partner,22634.0,No Child,96,2,1,2,Low,Low
Master,With Partner,47025.0,1 or More,635,11,1,6,Middle,High
Bachelor,No Partner,70566.0,1 or More,757,6,5,9,Upper Middle,Normal
PhD,With Partner,31605.0,1 or More,125,2,1,4,Middle,Low
Master,No Partner,52034.0,1 or More,332,4,2,5,Middle,Normal
Bachelor,No Partner,48526.0,1 or More,135,2,1,4,Middle,Low
Bachelor,With Partner,46734.0,1 or More,330,6,1,5,Middle,Normal
Bachelor,No Partner,39552.0,1 or More,384,6,2,5,Middle,Normal
Bachelor,No Partner,86358.0,1 or More,1722,5,3,6,Upper Middle,Normal
Bachelor,With Partner,46931.0,1 or More,78,1,1,3,Middle,Low
Bachelor,No Partner,16581.0,No Child,24,0,0,3,Low,
Master,No Partner,63998.0,No Child,1168,7,6,11,Middle,High
Master,With Partner,67381.0,1 or More,957,2,2,9,Upper Middle,Low
Bachelor,No Partner,25930.0,1 or More,15,1,0,2,Low,Low
Bachelor,With Partner,42693.0,1 or More,57,1,0,3,Middle,Low
Bachelor,With Partner,85606.0,1 or More,1956,6,7,9,Upper Middle,Normal
Bachelor,No Partner,72903.0,No Child,2013,7,5,8,Upper Middle,High
Master,With Partner,49669.0,1 or More,326,5,1,6,Middle,Normal
PhD,With Partner,36778.0,1 or More,77,3,0,3,Middle,Low
PhD,No Partner,85696.0,No Child,1313,4,6,9,Upper Middle,Normal
Master,No Partner,10979.0,No Child,30,3,0,3,Low,Low
Bachelor,With Partner,49678.0,1 or More,315,6,2,4,Middle,Normal
Master,With Partner,56129.0,1 or More,660,6,2,10,Middle,Normal
Bachelor,With Partner,37155.0,1 or More,74,2,0,4,Middle,Low
Master,No Partner,21282.0,1 or More,46,2,1,2,Low,Low
PhD,No Partner,33419.0,1 or More,86,2,0,4,Middle,Low
Bachelor,No Partner,63285.0,No Child,1103,6,5,13,Middle,Normal
Master,With Partner,21255.0,1 or More,61,2,1,4,Low,Low
Bachelor,With Partner,42162.0,1 or More,145,3,1,3,Middle,Low
Bachelor,With Partner,54450.0,1 or More,684,9,2,8,Middle,High
PhD,With Partner,57744.0,1 or More,411,9,1,4,Middle,High
Bachelor,No Partner,26576.0,1 or More,27,1,0,2,Low,Low
PhD,No Partner,57513.0,No Child,1060,9,3,13,Middle,High
Bachelor,With Partner,68142.0,1 or More,1459,10,4,7,Upper Middle,High
Bachelor,With Partner,7500.0,1 or More,18,1,0,2,Low,Low
Bachelor,With Partner,83145.0,No Child,1833,5,9,11,Upper Middle,Normal
Master,With Partner,54197.0,1 or More,237,1,3,6,Middle,Low
PhD,No Partner,23091.0,1 or More,48,2,1,3,Low,Low
Bachelor,With Partner,46049.0,1 or More,515,5,2,9,Middle,Normal
Bachelor,With Partner,56715.0,No Child,1020,7,3,4,Middle,High
Bachelor,With Partner,79410.0,No Child,1370,3,2,5,Upper Middle,Low
Bachelor,With Partner,57304.0,1 or More,1026,7,6,10,Middle,High
Bachelor,With Partner,44375.0,1 or More,301,4,1,6,Middle,Normal
Bachelor,With Partner,54450.0,1 or More,684,9,2,8,Middle,High
Bachelor,With Partner,59594.0,1 or More,499,8,1,7,Middle,High
Bachelor,With Partner,80685.0,No Child,1004,6,4,10,Upper Middle,Normal
PhD,With Partner,40344.0,1 or More,218,4,1,5,Middle,Normal
Bachelor,With Partner,62710.0,1 or More,606,4,2,12,Middle,Normal
Master,With Partner,48985.0,1 or More,75,1,1,3,Middle,Low
Bachelor,With Partner,35322.0,1 or More,106,2,0,4,Middle,Low
Bachelor,With Partner,77142.0,No Child,990,4,4,8,Upper Middle,Normal
Bachelor,No Partner,81657.0,No Child,1097,3,4,8,Upper Middle,Low
Bachelor,With Partner,14421.0,No Child,16,1,0,2,Low,Low
Master,With Partner,20130.0,No Child,34,1,0,3,Low,Low
PhD,With Partner,74214.0,No Child,1711,8,2,5,Upper Middle,High
Master,With Partner,66726.0,1 or More,438,8,2,4,Upper Middle,High
Bachelor,With Partner,23724.0,1 or More,75,2,0,3,Low,Low
Master,With Partner,47353.0,1 or More,225,2,2,6,Middle,Low
Master,With Partner,33444.0,1 or More,18,1,0,2,Middle,Low
Bachelor,With Partner,54386.0,1 or More,470,3,2,10,Middle,Low
Bachelor,No Partner,28510.0,1 or More,91,2,0,4,Low,Low
Master,No Partner,90638.0,No Child,2525,3,4,10,Upper Middle,Low
Bachelor,With Partner,48070.0,1 or More,504,8,2,6,Middle,High
Bachelor,With Partner,43140.0,1 or More,235,4,1,5,Middle,Normal
PhD,No Partner,54959.0,1 or More,1232,9,5,4,Middle,High
